                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.067375,               0.019254,               0.018596,               0.001371,                0.37164,                0.10811,                0.11707,               0.032943,                0.33245,                0.13514,                 0.1236,                 0.0273,               0.077793,               0.017016,               0.020891,              0.0020531,               0.010686,              0.0096862,              0.0096862
                     25,               0.067892,               0.018262,                0.01994,              0.0013371,                0.38704,               0.081081,               0.094365,               0.039377,                0.10515,                0.13514,               0.077889,               0.034088,               0.075194,               0.017297,               0.020844,             0.00086243,               0.009775,               0.009775,               0.009775
                     26,               0.068512,                0.01807,               0.019545,              0.0013625,                0.24072,                0.27027,                0.15308,               0.047486,                 0.2671,                 0.2973,                0.16338,               0.040506,               0.072719,               0.014019,               0.015862,             0.00084732,               0.009775,               0.009775,               0.009775
                     27,               0.061722,               0.018134,                0.02057,              0.0013114,                0.19862,                0.21622,                0.12959,               0.058987,                0.19862,                0.21622,                0.13005,               0.055417,               0.066843,               0.010827,               0.022097,             0.00076836,               0.009766,               0.009766,               0.009766
                     28,               0.062695,               0.018283,               0.021396,              0.0011443,                0.40664,                0.18919,                0.15332,               0.070564,                0.40664,                0.18919,                0.16904,               0.067669,               0.068036,               0.032668,               0.018182,              0.0036823,               0.009757,               0.009757,               0.009757
                     29,               0.063684,               0.016966,               0.018745,              0.0010893,                0.38263,                0.13514,                0.10543,               0.047755,                0.38263,                0.13514,                0.10287,               0.047435,               0.070233,               0.034488,               0.014549,              0.0038901,               0.009748,               0.009748,               0.009748
                     30,               0.063318,               0.016536,               0.018581,              0.0010894,               0.030579,               0.081081,               0.010568,              0.0025092,               0.027799,               0.054054,               0.010661,              0.0025644,               0.081362,               0.029099,               0.026206,             0.00086071,               0.009739,               0.009739,               0.009739
                     31,               0.062529,                  0.018,                0.01763,              0.0011617,               0.094833,               0.027027,              0.0051639,              0.0016099,                0.19051,               0.054054,               0.034234,              0.0045371,               0.086218,               0.031391,               0.017277,              0.0098254,                0.00973,                0.00973,                0.00973
                     32,               0.061293,               0.018656,               0.019286,              0.0010494,                0.13747,                0.16809,               0.078769,               0.015838,                0.14074,                0.16216,               0.076824,               0.021386,               0.066486,               0.016759,               0.031963,              0.0014877,               0.009721,               0.009721,               0.009721
                     33,               0.060997,               0.017837,               0.018944,              0.0010333,                0.19215,               0.054054,               0.027994,              0.0060701,                0.13969,               0.081081,               0.035029,               0.009374,               0.075598,               0.016504,               0.017972,              0.0060553,               0.009712,               0.009712,               0.009712
                     34,               0.060965,               0.017021,                 0.0179,             0.00097501,               0.038196,                0.10811,               0.022044,              0.0065912,                0.35483,               0.054054,               0.049213,              0.0096061,               0.082502,               0.012693,               0.015829,               0.025499,               0.009703,               0.009703,               0.009703
                     35,               0.058726,               0.019478,                0.01859,              0.0009131,                0.14495,                0.27495,                0.10958,               0.049636,                0.25081,                0.17215,                0.12877,               0.049642,               0.065716,               0.014332,               0.018927,              0.0026967,               0.009694,               0.009694,               0.009694
                     36,               0.058685,               0.018246,                0.01924,             0.00098441,                0.28074,                0.18919,                0.12351,               0.047633,                 0.3582,                0.21622,                0.17088,                   0.05,               0.066797,               0.015033,               0.018091,              0.0053174,               0.009685,               0.009685,               0.009685
                     37,               0.056647,               0.017822,               0.019126,             0.00086726,                0.15203,               0.081081,               0.032851,              0.0096481,                0.15203,               0.081081,               0.030127,               0.010466,               0.069563,               0.020477,               0.017562,               0.011759,               0.009676,               0.009676,               0.009676
