                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.031067,               0.019342,               0.010112,                      0,                0.99028,                    0.8,                0.81014,                0.51329,                0.99028,                    0.8,                0.81014,                0.64319,               0.032637,               0.018576,              0.0059848,                      0,               0.030642,              0.0076423,              0.0076423
                     26,               0.033551,               0.021174,               0.010156,                      0,                0.98737,                   0.75,                 0.8226,                 0.6125,                0.98737,                   0.75,                0.83062,                0.62484,               0.023624,               0.017291,              0.0056697,                      0,               0.027938,              0.0079376,              0.0079376
                     27,               0.032026,               0.020218,              0.0087617,                      0,                0.93398,                    0.8,                0.80188,                0.57902,                0.93398,                    0.8,                0.80188,                0.66306,               0.027798,               0.017783,              0.0061216,                      0,               0.025233,              0.0082328,              0.0082328
                     28,                0.03264,               0.020171,              0.0095683,                      0,                0.99083,                    0.7,                0.80262,                0.51817,                0.99083,                    0.7,                0.80823,                0.58698,                0.02784,               0.019441,              0.0065769,                      0,               0.022528,              0.0085278,              0.0085278
                     29,               0.032188,               0.021539,               0.010818,                      0,                0.87668,                   0.75,                0.80756,                0.56507,                0.93549,                    0.8,                0.82642,                0.63398,               0.029906,               0.018695,              0.0058079,                      0,               0.019823,              0.0088226,              0.0088226
                     30,               0.034333,               0.020578,               0.009894,                      0,                0.92639,                    0.8,                0.82412,                0.60019,                0.92639,                    0.8,                0.82412,                0.60089,               0.027338,               0.019402,              0.0060729,                      0,               0.017117,              0.0091172,              0.0091172
                     31,               0.033552,               0.022043,               0.009885,                      0,                0.93259,                    0.8,                0.81534,                 0.5372,                0.93259,                    0.8,                0.81632,                0.61833,                0.03153,               0.019043,              0.0062011,                      0,               0.014412,              0.0094117,              0.0094117
                     32,               0.034043,               0.021105,               0.010541,                      0,                0.99495,                    0.8,                0.82199,                0.56609,                0.99495,                    0.8,                 0.8033,                0.60986,               0.029699,               0.018118,              0.0062692,                      0,               0.011706,              0.0097059,              0.0097059
                     33,               0.034519,               0.021727,              0.0091741,                      0,                 0.9328,                   0.75,                0.83231,                 0.5605,                 0.9328,                   0.75,                0.79948,                0.60729,               0.026593,               0.018697,              0.0058332,                      0,               0.009901,               0.009901,               0.009901
                     34,               0.033034,               0.020497,               0.011128,                      0,                0.86245,                    0.8,                0.82123,                0.59273,                0.86245,                    0.8,                0.80626,                0.58682,               0.027418,               0.020158,               0.006153,                      0,               0.009901,               0.009901,               0.009901
                     35,               0.034324,               0.021213,               0.011014,                      0,                0.79627,                   0.75,                0.74836,                0.40639,                0.79627,                   0.75,                0.75128,                0.51675,               0.034812,               0.020604,              0.0072485,                      0,               0.009898,               0.009898,               0.009898
                     36,               0.034901,               0.021814,               0.010202,                      0,                0.78617,                   0.85,                 0.8069,                0.50795,                0.78617,                   0.85,                0.79179,                0.56717,               0.028198,               0.019396,              0.0064561,                      0,               0.009895,               0.009895,               0.009895
                     37,               0.034272,               0.017883,              0.0085679,                      0,                0.93578,                   0.75,                0.84784,                0.54841,                0.93578,                   0.75,                0.83338,                0.63039,               0.028748,               0.018821,              0.0057271,                      0,               0.009892,               0.009892,               0.009892
                     38,               0.033002,               0.021799,              0.0094759,                      0,                0.93221,                0.68821,                0.76177,                0.51557,                0.93221,                0.68821,                0.76481,                0.55975,               0.029447,               0.019256,              0.0069955,                      0,               0.009889,               0.009889,               0.009889
                     39,               0.034063,               0.021079,               0.010161,                      0,                0.78303,                    0.7,                0.77298,                0.51768,                0.78303,                    0.7,                0.76333,                0.54509,               0.030572,               0.019092,              0.0070449,                      0,               0.009886,               0.009886,               0.009886
                     40,                0.03545,               0.020976,                0.01045,                      0,                0.84824,                   0.75,                0.80058,                0.53788,                0.84824,                   0.75,                0.80058,                 0.5526,               0.029322,               0.019619,              0.0067198,                      0,               0.009883,               0.009883,               0.009883
                     41,               0.032592,               0.022544,               0.010247,                      0,                0.79886,                 0.7946,                0.77172,                0.43246,                0.79886,                 0.7946,                0.77987,                0.52595,               0.039621,               0.021021,              0.0074915,                      0,                0.00988,                0.00988,                0.00988
                     42,                0.03401,                0.02079,              0.0094206,                      0,                0.84071,                    0.8,                 0.7925,                0.48924,                0.84071,                    0.8,                0.80942,                 0.6024,               0.028271,               0.016254,              0.0067151,                      0,               0.009877,               0.009877,               0.009877
                     43,               0.034619,               0.024215,               0.011053,                      0,                0.73194,                   0.85,                0.79898,                0.51062,                0.73194,                   0.85,                0.80226,                0.65148,               0.029868,               0.014646,              0.0062178,                      0,               0.009874,               0.009874,               0.009874
                     44,               0.033809,               0.021657,               0.010244,                      0,                0.83238,                0.74513,                0.75043,                0.42977,                0.83238,                0.74513,                0.74115,                0.52711,               0.034155,               0.018592,              0.0071684,                      0,               0.009871,               0.009871,               0.009871
                     45,                0.03224,               0.020905,              0.0099768,                      0,                0.86853,                    0.7,                0.69757,                0.36662,                0.84012,                0.78869,                 0.7417,                0.47291,               0.037904,               0.021379,              0.0080936,                      0,               0.009868,               0.009868,               0.009868
                     46,               0.032173,               0.021498,              0.0090015,                      0,                 0.8213,                    0.7,                0.62526,                0.31096,                0.88228,                0.74951,                0.71227,                0.47218,               0.044481,               0.026833,              0.0091244,                      0,               0.009865,               0.009865,               0.009865
                     47,               0.033836,               0.020503,              0.0095839,                      0,                0.87838,                0.72298,                0.78826,                0.57085,                0.87838,                0.72298,                0.78826,                0.56654,               0.031956,               0.021518,              0.0075015,                      0,               0.009862,               0.009862,               0.009862
